Group,Country
GroupA,Mexico
GroupA,SouthAfrica
GroupA,SouthKorea
GroupA,Czechia
GroupB,Canada
GroupB,Bosnia
GroupB,Qatar
GroupB,Switzerland
GroupC,Brazil
GroupC,Morocco
GroupC,Haiti
GroupC,Scotland
GroupD,UnitedStates
GroupD,Paraguay
GroupD,Australia
GroupD,Turkey
GroupE,Germany
GroupE,Curacao
GroupE,IvoryCoast
GroupE,Ecuador
GroupF,Netherlands
GroupF,Japan
GroupF,Sweden
GroupF,Tunisia
GroupG,Belgium
GroupG,Egypt
GroupG,Iran
GroupG,NewZealand
GroupH,Spain
GroupH,CapeVerde
GroupH,SaudiArabia
GroupH,Uruguay
GroupI,France
GroupI,Senegal
GroupI,Iraq
GroupI,Norway
GroupJ,Argentina
GroupJ,Algeria
GroupJ,Austria
GroupJ,Jordan
GroupK,Portugal
GroupK,DRCongo
GroupK,Uzbekistan
GroupK,Colombia
GroupL,England
GroupL,Croatia
GroupL,Ghana
GroupL,Panama
